Name,Email,SID,Grading Option
Montrezl Harrell,trez15@lakers.com,11259,PNP
LeBron James,kingjames@berkeley.edu,29314,GRD
Kyle Kuzma,kuz@utah.edu,29319,GRD
Marc Gasol,gasol@spain.co.es,34892,GRD
Dennis Schroder,dennis@okc.com,40561,PNP
Kentavious Caldwell-Pope,kc3p@pistons.ca,40915,PNP
Talen Horton-Tucker,tht@stanford.edu,44003,GRD
Markieff Morris,kieff@clippers.co.uk,77143,GRD
Wesley Matthews,wesmath@mavs.dallas.com,81920,GRD
Alex Caruso,carugoat@gov.on.ca,83212,GRD
Anthony Davis,AD_brow@pels.edu,85002,PNP
Jared Dudley,jdudz3@berkeley.edu,85923,GRD
